STATION CODE,LOCATIONS,STATE,TEMPERATURE,DO,pH,BOD,TOTALCOLIFORM
1194,"KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,MAHARASHTRA",MAHARASHTRA,28.4,6.2,8.8,6.2,275
1153,"KRISHNA AT RAJAPUR WEIR, MAHARASHTRA",MAHARASHTRA,32,7.4,8.1,4,120
36,"KRISHNA AT KRISHNA BRIDGE, KARAD, MAHARASHTRA",MAHARASHTRA,25.4,5.9,8.8,7.4,1800
1906,KRISHNA D/S OF ISLAMPUR,MAHARASHTRA,27,7.5,8.6,8.2,130
37,"KRISHNA AT SANGLI, MAHARASHTRA",MAHARASHTRA,28,6.9,8.5,6.4,140
1310,"KRISHNA AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA",MAHARASHTRA,32,7.4,8.2,4.8,140
2187,KRISHNA RIVER AT KSHETRA MAHULI.,MAHARASHTRA,23,5.9,9.1,6.4,1800
2188,KRISHNA RIVER AT KRISHNA-VENNA SANGAM AT MAHULI.,MAHARASHTRA,21.9,6,8.8,7.6,1800
2190,KRISHNA RIVER AT WAI.,MAHARASHTRA,28.7,5.8,9,8.6,1800
1182,"KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA",KARNATAKA,33,11.4,8.9,2.6,1600
1889,KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,KARNATAKA,32,11.7,9.1,2.5,1600
1181,"KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA",KARNATAKA,29,5.8,9.5,3.2,1600
1170,"KRISHNA AT D/S OF DEVASAGAR BDG.,KARNATAKA",KARNATAKA,32,7.6,8.7,2,1600
1028,"KRISHNA AT TINTINI BRIDGE, KARNATAKA",KARNATAKA,34,7.8,8.3,2,1600
2781,"KRISHNA AT D/S OF ALAMATTI DAM, KARNATAKA",KARNATAKA,29.5,5.9,9.4,3.3,1600
1784,"THANGADI , MAHABOOBNAGAR DIST., A.P",ANDHRA PRADESH,30,6.8,8.4,14,350
1175,"KRISHNA AFTER CONFL. WITH TUNGABHADRA, SANGAMESHWARAM A.P.",ANDHRA PRADESH,29,6.2,8.5,2.8,1200
39,"KRISHNA AT GADWAL BRIDGE, A.P.",ANDHRA PRADESH,30,6.9,8.5,12,500
1465,"KRISHNA AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)",ANDHRA PRADESH,30,6.1,9,4,240
1786,"VEDADRI , GUNTUR DIST., A.P",ANDHRA PRADESH,22,6.8,8.5,0.8,1200
1787,"AMARAVATI , GUNTUR DIST., A.P",ANDHRA PRADESH,27,7.5,9.2,0.8,1200
25,"KRISHNA AT VIJAYWADA, A.P.",ANDHRA PRADESH,23,6.4,8.4,1.2,1200
3079,"D/S OF RIVER KRISHNA A/C WITH TREATED SEWAGE DISCHARGING FROM 10MLD STP LOCATED AT RAMALINGESHWARNAGAR, VIJAYAWADA,  KRISHNA, A.P.",ANDHRA PRADESH,18,3.3,6.8,1,1200
3083,"KRISHNA D/S OF SRISHAILAM,  KURNOOL, A.P.",ANDHRA PRADESH,26,6,7.6,2.1,1000
1782,"ESTUARINE ZONE HAMSALA DEEVI , GUNTUR DIST, A.P",ANDHRA PRADESH,21,6.2,8.5,1,1100
